fixation number, world centroid position x, world centroid position y , world centroid position z, centroid time, fixation duration
0,-0.2877996,1.360554,1.591919,14.37282,0.1176081
1,-0.2811061,1.304348,1.576166,14.46483,0.01153278
2,-0.288227,1.1986,1.563927,14.50321,-0.01444054
3,-0.2880497,0.947858,1.634771,14.53873,0.01390362
4,-1.479183,-1,7.961439,14.7382,0.335412
5,-0.3075927,0.8764682,1.684332,14.93777,-0.01462078
6,-0.293248,1.169363,1.565352,15.18402,0.4455547
7,-0.1481064,1.242099,1.60172,15.4389,-0.01442337
8,-0.1039945,1.30085,1.627831,15.61571,0.3061304
9,-0.07354586,1.27116,1.642046,15.90118,0.209178
10,-0.248035,1.157339,1.574025,16.03724,-0.01453972
11,-0.431757,0.960302,1.636862,16.07194,0.01385117
12,-0.4438187,0.9240489,1.662536,16.25575,0.3069248
13,-0.4496597,1.137429,1.583249,16.44078,-0.01372337
14,-0.4724905,1.335416,1.603332,16.63871,0.3493614
15,-0.3951087,1.378643,1.599415,16.84627,-0.01299858
16,1.406946,1.993363,1.847933,16.9965,0.02518654
17,1.525811,2.08042,1.782088,17.04478,0.01445198
18,1.525188,2.17451,1.779266,17.08194,-0.01315498
19,1.45887,2.258395,1.804677,17.11495,0.01366043
20,1.423396,2.327217,1.829401,17.15285,-0.01319885
21,1.382023,2.416282,1.873137,17.19722,0.04137993
22,1.421887,2.58728,1.828003,17.2675,0.04451561
23,1.396284,2.70003,1.86557,17.33671,0.04148674
24,1.356233,2.834418,1.934304,17.41924,0.07123947
25,1.326355,2.996458,1.964163,17.51634,0.07080078
26,1.3322,3.064088,1.781566,17.67608,0.1946526
27,1.14591,3.089233,1.763276,17.80477,-0.0137291
28,1.052665,3.077908,1.772519,17.85125,0.04205132
29,0.9198235,3.074852,1.772417,17.90391,-0.0154686
30,0.8540908,3.104019,1.75545,17.93104,-0.01214981
31,0.7868323,3.096387,1.761253,17.96359,0.01395988
32,0.6981554,3.153425,1.743771,18.01177,0.02769279
33,0.5795097,3.094609,1.765384,18.06294,0.01332474
34,0.4432405,3.101189,1.786888,18.16352,0.1391449
35,0.2872201,3.12354,1.794708,18.26404,-0.01377869
36,0.1544581,3.133892,1.790372,18.32425,0.07190132
37,0.01988221,3.153767,1.789951,18.39565,0.01355934
38,-0.113773,3.165205,1.780406,18.45009,0.04180336
39,-0.3012116,3.169742,1.785851,18.54005,0.08228302
40,-0.5188993,3.177317,1.787342,18.64478,0.07162476
41,-0.7204177,3.184617,1.805948,18.75488,0.09979439
42,-0.9497521,3.196677,1.847116,18.88724,0.1096458
43,-0.2771508,1.143255,1.570639,19.0351,0.01384163
44,-0.2373516,1.075445,1.590525,19.08991,0.04237175
45,-0.2559744,1.136378,1.574996,19.14387,-0.01447296
46,-0.2837922,1.130017,1.570915,19.16945,-0.01327515
47,-0.3176492,1.136824,1.569074,19.29733,0.2085781
48,-0.4171107,1.230792,1.57223,19.44053,0.01308823
49,-0.4605797,1.428096,1.636825,19.47536,-0.0134201
50,-0.4458865,1.478443,1.664062,19.63146,0.2648563
51,-0.2389888,1.231996,1.574173,19.80073,0.01415634
52,-0.07746096,1.037019,1.66833,19.98629,0.3061104
53,-0.3274001,1.178215,1.56443,20.17156,-0.01410294
54,-0.348286,1.245392,1.566855,20.29988,0.2060833
55,-0.2241922,1.383426,1.609728,20.43575,-0.0140686
56,-0.189246,1.460047,1.661664,20.63361,0.3501797
57,-0.1788569,1.432002,1.649409,20.91936,0.1665344
58,-0.2232148,1.407257,1.621343,21.10051,0.1389904
